DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-10-30,EQ,563,566.7,556.5,561.15,566.2,565.2,562.29,629.55,499.35,8593704,4832188898.35,191150,SBIN
2023-10-27,EQ,550,562.5,550,547,561.7,561.15,558.49,629.55,499.35,10415296,5816877868.95,210599,SBIN
2023-10-26,EQ,551.45,552.9,543.2,556.2,547,547,547.27,629.55,499.35,19424825,10630651336.6,317445,SBIN
2023-10-25,EQ,558.6,560.8,553.6,552.95,556.6,556.2,557.67,629.55,499.35,12134624,6767161161.25,262171,SBIN
2023-10-23,EQ,563.1,566,551,563.1,552.4,552.95,559.35,629.55,499.35,11875035,6642319960.75,263251,SBIN
2023-10-20,EQ,569.9,570,562.1,571.2,562.8,563.1,565.15,629.55,499.35,11110988,6279375187.5,282726,SBIN
2023-10-19,EQ,569.8,574,567,572.65,571.3,571.2,570.92,629.55,499.35,11441499,6532150778.6,239777,SBIN
2023-10-18,EQ,577.75,579.25,569.35,576.45,572.75,572.65,573.26,629.55,499.35,11777454,6751531244.1,270057,SBIN
2023-10-17,EQ,577.7,579.95,575.3,575.65,576.7,576.45,577.46,629.55,499.35,10765224,6216466935.7,269728,SBIN
2023-10-16,EQ,576,578.75,571.5,576.15,575.5,575.65,576.02,629.55,499.35,11290293,6503388837.6,485503,SBIN
2023-10-13,EQ,577.75,581.3,574.8,586.05,576.2,576.15,577.07,629.55,499.35,19064577,11001625403.05,465129,SBIN
2023-10-12,EQ,590.8,593,585,588.35,585.6,586.05,588.33,629.55,499.35,11983797,7050377951.75,171954,SBIN
2023-10-11,EQ,596.9,597,587.6,591.65,588.9,588.35,591.39,629.55,499.35,14220119,8409571970.95,209131,SBIN
2023-10-10,EQ,587,595,585.75,585.1,591.2,591.65,590.68,629.55,499.35,10373508,6127406833.2,250192,SBIN
2023-10-09,EQ,588,589,581.55,594.25,584.55,585.1,584.53,629.55,499.35,9189597,5371608921.2,235554,SBIN
2023-10-06,EQ,593.4,598.95,592.2,592.15,594,594.25,595.04,629.55,499.35,8216780,4889295417.95,187684,SBIN
2023-10-05,EQ,590,594.35,587.1,586.25,592,592.15,591.18,629.55,499.35,13248028,7832000311.45,209600,SBIN
2023-10-04,EQ,600,600.45,584.45,602.95,585.2,586.25,590.41,629.55,499.35,24914612,14709773963.6,308578,SBIN
2023-10-03,EQ,596.6,604.9,589.6,598.55,603.1,602.95,597.63,629.55,499.35,15322196,9156985818.05,245784,SBIN
